STATE/UT,DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,Total crimes against SCs
GUJARAT,VALSAD,2007,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,W.RLY,2007,1,0,0,0,1,0,0,0,0,2,4
GUJARAT,TOTAL,2007,17,30,22,7,19,16,283,328,2,316,1040
HARYANA,AMBALA,2007,0,0,0,0,0,0,0,8,0,0,8
HARYANA,BHIWANI,2007,0,2,0,0,0,0,2,0,0,4,8
HARYANA,FARIDABAD,2007,0,0,3,0,0,0,0,9,0,6,18
HARYANA,FATEHABAD,2007,1,2,1,0,0,0,7,1,0,6,18
HARYANA,GRP,2007,0,0,0,0,0,0,0,0,0,0,0
HARYANA,GURGAON,2007,0,0,4,0,0,1,0,14,0,7,26
HARYANA,HISSAR,2007,0,2,0,0,0,0,2,0,0,2,6
HARYANA,JHAJJAR,2007,2,0,1,0,0,0,1,0,0,5,9
HARYANA,JIND,2007,0,2,0,0,0,0,0,9,0,0,11
HARYANA,KAITHAL,2007,0,0,0,0,0,0,0,0,0,0,0
HARYANA,KARNAL,2007,1,3,0,0,0,0,0,1,0,2,7
HARYANA,KURUKSHETRA,2007,0,2,1,0,0,0,0,1,0,2,6
HARYANA,MAHENDRAGARH,2007,2,0,0,0,0,0,2,8,0,8,20
HARYANA,MEWAT,2007,0,0,0,0,0,0,1,5,0,4,10
HARYANA,PALWAL,2007,0,1,0,0,0,0,1,4,0,0,6
HARYANA,PANCHKULA,2007,0,0,0,0,0,0,0,0,0,0,0
HARYANA,PANIPAT,2007,0,4,0,0,0,0,1,1,0,6,12
HARYANA,REWARI,2007,0,0,0,0,0,0,0,4,0,5,9
HARYANA,ROHTAK,2007,1,0,2,0,0,0,1,0,0,8,12
HARYANA,SIRSA,2007,2,1,0,0,0,0,1,6,0,7,17
HARYANA,SONIPAT,2007,0,0,1,0,1,0,8,2,0,6,18
HARYANA,YAMUNANAGAR,2007,1,2,0,0,0,0,1,2,0,0,6
HARYANA,TOTAL,2007,10,21,13,0,1,1,28,75,0,78,227
HIMACHAL PRADESH,BILASPUR,2007,0,1,0,0,0,0,0,7,0,0,8
HIMACHAL PRADESH,CHAMBA,2007,0,0,0,0,0,0,0,8,0,0,8
HIMACHAL PRADESH,G.R.P.,2007,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,HAMIRPUR,2007,0,0,0,0,0,0,0,5,0,0,5
HIMACHAL PRADESH,KANGRA,2007,0,2,0,0,0,0,0,20,0,0,22
HIMACHAL PRADESH,KINNAUR,2007,0,1,0,0,0,0,0,1,0,0,2
HIMACHAL PRADESH,KULLU,2007,0,0,0,0,0,0,0,14,0,0,14
HIMACHAL PRADESH,LAHAUL-SPITI,2007,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,MANDI,2007,0,0,0,0,0,0,0,2,0,0,2
HIMACHAL PRADESH,SHIMLA,2007,0,2,0,0,0,0,0,15,4,0,21
HIMACHAL PRADESH,SIRMAUR,2007,0,0,0,0,0,0,0,3,0,0,3
HIMACHAL PRADESH,SOLAN,2007,0,0,0,0,0,0,0,1,0,0,1
HIMACHAL PRADESH,UNA,2007,0,0,0,0,0,0,0,5,0,0,5
HIMACHAL PRADESH,TOTAL,2007,0,6,0,0,0,0,0,81,4,0,91
JAMMU & KASHMIR,ANANTNAG,2007,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,AWANTIPORA,2007,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,BARAMULLA,2007,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,BORDER DISTRICT,2007,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,BUDGAM,2007,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,CRIME JAMMU,2007,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,CRIME SRINAGAR,2007,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,DODA,2007,0,0,0,0,0,0,0,0,0,0,0
