STATE/UT,DISTRICT,Year,Murder,Rape,Kidnapping Abduction,Dacoity,Robbery,Arson,Hurt,Protection of Civil Rights (PCR) Act,Prevention of atrocities (POA) Act,Other Crimes Against STs,Total crimes against STs
ASSAM,MORIGAON,2001,0,0,0,0,0,0,0,0,0,0,0
ASSAM,N.C. HILLS,2001,0,0,0,0,0,0,0,0,0,0,0
ASSAM,NAGAON,2001,0,0,0,0,0,0,0,0,0,0,0
ASSAM,NALBARI,2001,0,0,0,0,0,0,0,0,0,0,0
ASSAM,R.P.O.,2001,0,0,0,0,0,0,0,0,0,0,0
ASSAM,SIBSAGAR,2001,0,0,0,0,0,0,0,0,0,0,0
ASSAM,SONITPUR,2001,0,0,0,0,0,0,0,0,0,0,0
ASSAM,TINSUKIA,2001,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2001,1,1,1,0,0,0,0,0,0,1,4
BIHAR,ARWAL,2001,0,0,0,0,0,0,0,0,0,0,0
BIHAR,AURANGABAD,2001,0,0,0,0,0,0,0,0,0,9,9
BIHAR,BAGAHA,2001,0,0,0,0,0,0,0,6,0,0,6
BIHAR,BANKA,2001,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BEGUSARAI,2001,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BETTIAH,2001,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BHABHUA,2001,0,0,0,0,0,0,0,0,0,3,3
BIHAR,BHAGALPUR,2001,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BHOJPUR,2001,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BUXAR,2001,0,0,0,0,0,0,0,0,0,0,0
BIHAR,DARBHANGA,2001,0,0,0,0,0,0,0,0,0,0,0
BIHAR,GAYA,2001,0,0,0,0,0,0,0,0,0,0,0
BIHAR,GOPALGANJ,2001,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMALPUR RLY.,2001,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMUI,2001,0,0,0,0,0,0,2,2,0,1,5
BIHAR,JEHANABAD,2001,0,0,0,0,0,0,0,0,0,0,0
